Japanese,English
浴びる【あびる】 (abiru),"to bathe, to shower, (Ichidan verb, Transitive verb)"
上げる【あげる】 (ageru),"to raise; to elevate, (Ichidan verb, Transitive verb)"
開ける【あける】 (akeru),"to open (a door, etc.); to unwrap (e.g. parcel, package); to unlock, (Ichidan verb, Transitive verb)"
出かける【でかける】 (dekakeru),"to go out; to leave; to depart, (Ichidan verb, Intransitive verb)"
出る【でる】 (deru),"to leave; to exit; to appear; to go out, (Ichidan verb, Intransitive verb)"
晴れる【はれる】 (hareru),"to be sunny, (Ichidan verb, Intransitive verb)"
入れる【いれる】 (ireru),"to put in; to let in; to take in; to bring in; to insert; to install, (Ichidan verb, Transitive verb)"
居る 【いる】 (iru),"to be, to have, (Ichidan verb, Intransitive verb)"
掛ける【かける】 (kakeru),"to hang up; to make (a call);, (Ichidan verb, Transitive verb)"
借りる【かりる】 (kariru),"to borrow, (Ichidan verb, Transitive verb)"
消える 【きえる】 (kieru),"to disappear, (Ichidan verb, Intransitive verb)"
着る【きる】 (kiru),"to wear, (Ichidan verb, Transitive verb)"
着る【きる】 (kiru),"To Wear, (Ichidan verb, Transitive verb)"
見る【みる】 (miru),"to see; to look; to watch; to view; to observe, (Ichidan verb, Transitive verb)"
見せる【みせる】 (miseru),"to show; to display, (Ichidan verb, Transitive verb)"
並べる【ならべる】 (naraberu),"to line up,to set up, (Ichidan verb, Transitive verb)"
寝る【ねる】 (neru),"to sleep; to go to bed; to lie down, (Ichidan verb, Intransitive verb)"
覚える【おぼえる】 (oboeru),"to remember, (Ichidan verb, Transitive verb)"
起きる【おきる】 (okiru),"to get up; to wake up, (Ichidan verb, Intransitive verb)"
降りる【おりる】 (oriru),"to get off, (Ichidan verb, Intransitive verb)"
教える【おしえる】 (oshieru),"to teach, (Ichidan verb, Transitive verb)"
締める【しめる】 (shimeru),"to tie; to fasten; to tighten, (Ichidan verb, Transitive verb)"
閉める【しめる】 (shimeru),"to close; to shut, (Ichidan verb, Transitive verb)"
食べる【たべる】 (taberu),"to eat, (Ichidan verb, Intransitive verb)"
疲れる【つかれる】 (tsukareru),"to get tired, (Ichidan verb, Intransitive verb)"
付ける【つける】 (tsukeru),"to attach; affix; add; apply, (Ichidan verb, Transitive verb)"
つける (tsukeru),"to turn on, (Ichidan verb, Transitive verb)"
勤める【つとめる】 (tsutomeru),"to work for someone, (Ichidan verb, Transitive verb)"
生まれる【うまれる】 (umareru),"to be born, (Ichidan verb, Intransitive verb)"
忘れる【わすれる】 (wasureru),"to forget, (Ichidan verb, Transitive verb)"
