開く【あく】 (aku),"to open (e.g. doors, business, etc), (Godan verb, Intransitive verb)"
洗う【あらう】 (arau),"to wash, (Godan verb, Transitive verb)"
ある (aru),"to be, to have, (Godan verb, Intransitive verb)"
歩く【あるく】 (aruku),"to walk, (Godan verb, Intransitive verb)"
遊ぶ【あそぶ】 (asobu),"to play; to enjoy oneself, (Godan verb, Intransitive verb)"
会う【あう】 (au),"to meet; to encounter; to see, (Godan verb, Intransitive verb)"
勉強【べんきょう】 (benkyou),"to study, (Suru verb)"
違う【ちがう】 (chigau),"to differ, (Godan verb, Intransitive verb)"
出す【だす】 (dasu),"to take out; to get out; to put out; to reveal, (Godan verb, Transitive verb)"
吹く【ふく】 (fuku),"to blow (of the wind), (Godan verb, Intransitive verb)"
降る【ふる】 (furu),"to fall, (Godan verb, Intransitive verb)"
入る【はいる】 (hairu),"to enter; to go into, (Godan verb, Intransitive verb)"
始まる【はじまる】 (hajimaru),"to begin, (Godan verb, Intransitive verb)"
履く【はく】 (haku),"to wear, to put on trousers, (Godan verb, Transitive verb)"
話す【はなす】 (hanasu),"to speak; to talk; to converse, (Godan verb, Transitive verb)"
貼る 【はる】 (haru),"to stick; to paste, (Godan verb, Transitive verb)"
走る【はしる】 (hashiru),"to run, (Godan verb, Intransitive verb)"
働く【はたらく】 (hataraku),"to work, (Godan verb, Intransitive verb)"
引く【ひく】 (hiku),"to pull, (Godan verb, Transitive verb)"
弾く【ひく】 (hiku),"to play, (Godan verb, Transitive verb)"
行く【いく】 (iku),"to go; to move, (Godan verb, Intransitive verb)"
要る【いる】 (iru),"to be needed, (Godan verb, Intransitive verb)"
言う【いう】 (iu),"to say; to call, (Godan verb)"
授業【じゅぎょう】 (jugyou),"lesson; class work, (Suru verb)"
帰る【かえる】 (kaeru),"to go back, (Godan verb, Intransitive verb)"
返す【かえす】 (kaesu),"to return something, (Godan verb, Transitive verb)"
掛かる【かかる】 (kakaru),"to take (a resource, e.g. time or money), (Godan verb, Intransitive verb)"
書く【かく】 (kaku),"to write; to compose; to pen; to draw, (Godan verb, Transitive verb)"
貸す【かす】 (kasu),"to lend; to loan, (Godan verb, Transitive verb)"
買う【かう】 (kau),"to buy; to purchase, (Godan verb, Transitive verb)"
結婚【けっこん】 (kekkon),"marriage, (Suru verb)"
消す【けす】 (kesu),"to erase, to turn off power, (Godan verb, Transitive verb)"
聞く【きく】 (kiku),"to hear; to listen (to music); to ask; to learn of, (Godan verb, Transitive verb)"
切る【きる】 (kiru),"to cut, (Godan verb, Transitive verb)"
困る【こまる】 (komaru),"to be troubled, (Godan verb, Intransitive verb)"
コピー (kopii ),"copy; photocopy, (Suru)"
曇る【くもる】 (kumoru),"to become cloudy, to become dim, (Godan verb, Intransitive verb)"
来る【くる】 (kuru),"to come, (Intransitive verb)"
曲がる【まがる】 (magaru),"to turn, to bend, (Godan verb, Intransitive verb)"
待つ【まつ】 (matsu),"to wait, (Godan verb, Intransitive verb, Transitive verb)"
磨く【みがく】 (migaku),"to polish; to shine; to brush (e.g. teeth), (Godan verb, Intransitive verb)"
持つ【もつ】 (motsu),"to hold, (Godan verb)"
鳴く【なく】 (naku),"animal noise. to chirp, (Godan verb, Intransitive verb)"
